IdCliente,Nombre,Apellido,Correo,Telefono,Ciudad,Estado,Pais,Activo,FechaRegistro
632,fernando,López,fernando.lopez632@ventas.net,7225340597,Toluca,Estado de México,México,1,ABC
641,fernando,DÍAZ,fernando.diaz641@empresa.com,7228074002,Puebla,Puebla,México,1,04/12/2022
433,Ángel,castillo,angel.castillo433@ventas.net,7225482849,Monterrey,Nuevo León,México,1,03/07/2023
873,Sofía,Muñoz,sofia.munoz873@correo.mx,7229913106,Metepec,Estado de México,México,1,31/10/2021
612,  laura  ,De la Cruz,laura.delacruz612@example.org,7221859167,Toluca,Estado de México,México,1,15/01/2023
173,DANIELA,O'Connor,daniela.oconnor173@correo.mx,7223480171,Guadalajara,Jalisco,México,1,06/05/2022
252,MÓNICA,De la Cruz,monica.delacruz252@empresa.com,7227301676,Mérida,Yucatán,México,1,01/03/2021
857,Ana,castillo,ana.castillo857@example.org,7228325607,Toluca,Estado de México,México,1,17/06/2021
419,Luis,O'Connor,luis.oconnor419@example.org,7226544197,Mérida,Yucatán,México,1,16/01/2025
186,Carlos,  Vargas  ,carlos.vargas186@ventas.net,7227295682,Tijuana,Baja California,México,1,23/07/2025
25,Ana,García,,7226663199,Monterrey,Nuevo León,México,0,20/05/2025
259,ramón,De la Cruz,ramon.delacruz259@example.org,7226452589,Mérida,Yucatán,México,1,11/01/2021
625,Sofía,O'Connor,sofia.oconnor625@ventas.net,7221616647,Tijuana,Baja California,México,1,30/05/2024
118,DANIELA,Pérez,daniela.perez118@example.org,7229739329,Tijuana,Baja California,México,1,23/11/2025
694,José,Muñoz,jose.munoz694@ventas.net,7226189024,Monterrey,Nuevo León,México,1,09/11/2025
160,Carlos,De la Cruz,carlos.delacruz160@ventas.net,7223370532,Puebla,Puebla,México,1,29/12/2021
247,Sofía,castillo,sofia.castillo247@empresa.com,7225177878,Puebla,Puebla,México,1,16/03/2025
717,Zoë,López,zoe.lopez717@correo.mx,7222753627,León,Guanajuato,México,1,26/05/2021
777,fernando,De la Cruz,fernando.delacruz777@example.org,7224426047,CDMX,Ciudad de México,México,1,23/02/2023
268,MÓNICA,  Vargas  ,monica.vargas268@empresa.com,7222925231,Tijuana,Baja California,México,1,30/04/2022
3,Óscar,  Vargas  ,,7225389452,Monterrey,Nuevo León,México,0,28/05/2025
514,Valeria,DÍAZ,valeria.diaz514@ventas.net,7227674646,Mérida,Yucatán,México,1,23/07/2022
599,Iñaki,García,inaki.garcia599@correo.mx,7224869278,CDMX,Ciudad de México,México,1,30/09/2023
520,Luis,Hernández,luis.hernandez520@example.org,7222195364,Querétaro,Querétaro,México,1,03/05/2025
810,Óscar,Pérez,oscar.perez810@empresa.com,7229060209,CDMX,Ciudad de México,México,1,30/11/2022
74,Ana,García,,7227983261,Metepec,Estado de México,México,1,04/03/2021
24,Sofía,Pérez,,7222073240,Querétaro,Querétaro,México,0,26/05/2026
165,  laura  ,Pérez,laura.perez165@correo.mx,7227544277,Metepec,Estado de México,México,1,21/11/2021
539,  laura  ,O'Connor,laura.oconnor539@ventas.net,7228945614,Monterrey,Nuevo León,México,1,04/12/2025
115,Zoë,Hernández,zoe.hernandez115@ventas.net,7222945365,Toluca,Estado de México,México,1,12/03/2026
780,Sofía,  Vargas  ,sofia.vargas780@correo.mx,7229311583,Querétaro,Querétaro,México,1,23/07/2023
796,Luis,Sánchez,luis.sanchez796@ventas.net,7229899702,Guadalajara,Jalisco,México,1,31/10/2025
311,Zoë,Torres,zoe.torres311@empresa.com,7227440749,Monterrey,Nuevo León,México,1,14/10/2021
503,Lucía,Sánchez,lucia.sanchez503@correo.mx,7225416508,Toluca,Estado de México,México,1,07/05/2024
849,Iñaki,Ramírez,inaki.ramirez849@empresa.com,7221236929,CDMX,Ciudad de México,México,1,13/03/2025
700,MÓNICA,Hernández,monica.hernandez700@correo.mx,7229889710,León,Guanajuato,México,1,31/01/2022
220,Jorge,DÍAZ,jorge.diaz220@correo.mx,7227317596,Metepec,Estado de México,México,1,19/08/2021
554,Sofía,Martínez,sofia.martinez554@correo.mx,7223778654,Puebla,Puebla,México,1,01/05/2026
116,  laura  ,Sánchez,laura.sanchez116@empresa.com,7226132227,CDMX,Ciudad de México,México,1,05/06/2025
869,fernando,López,fernando.lopez869@empresa.com,7229196090,León,Guanajuato,México,1,05/05/2025
187,Miguel,López,miguel.lopez187@example.org,7226822121,CDMX,Ciudad de México,México,1,26/08/2021
398,Miguel,Núñez,miguel.nunez398@ventas.net,7227922514,Querétaro,Querétaro,México,1,19/05/2021
896,MÓNICA,López,monica.lopez896@empresa.com,7227327279,León,Guanajuato,México,1,11/04/2026
546,Zoë,Pérez,zoe.perez546@correo.mx,7222633505,Metepec,Estado de México,México,1,29/09/2022
446,Renée,Pérez,renee.perez446@empresa.com,7222936862,Querétaro,Querétaro,México,1,25/11/2024
306,Sofía,Hernández,sofia.hernandez306@empresa.com,7226366550,Tijuana,Baja California,México,1,24/05/2025
94,fernando,Pérez,,7223550893,Toluca,Estado de México,México,1,26/04/2025
470,Ángel,Ramírez,angel.ramirez470@ventas.net,7224354071,León,Guanajuato,México,1,06/09/2025
844,ramón,Ramírez,ramon.ramirez844@correo.mx,7221420987,Monterrey,Nuevo León,México,1,27/05/2021
265,  ÓSCAR  ,Torres,oscar.torres265@empresa.com,7229528924,Guadalajara,Jalisco,México,1,12/11/2024
489,Óscar,Muñoz,oscar.munoz489@example.org,7225624093,Monterrey,Nuevo León,México,1,28/11/2023
491,MÓNICA,O'Connor,monica.oconnor491@empresa.com,7226526165,Mérida,Yucatán,México,1,31/12/2024
825,Lucía,Ramírez,lucia.ramirez825@correo.mx,7224726146,Metepec,Estado de México,México,1,14/02/2026
622,Óscar,Pérez,oscar.perez622@example.org,7227908276,León,Guanajuato,México,1,07/03/2021
100,Ana,castillo,,7228394008,Guadalajara,Jalisco,México,1,06/12/2025
289,Lucía,  Vargas  ,lucia.vargas289@empresa.com,7223476099,CDMX,Ciudad de México,México,1,24/05/2023
548,Luis,García,luis.garcia548@example.org,7225876010,Mérida,Yucatán,México,1,17/05/2023
38,DANIELA,Martínez,,7222700016,Puebla,Puebla,México,0,18/03/2022
232,Zoë,castillo,zoe.castillo232@ventas.net,7224419639,Mérida,Yucatán,México,1,05/03/2026
622,Óscar,Pérez,oscar.perez622@example.org,7227908276,León,Guanajuato,México,1,07/03/2021
120,fernando,Torres,fernando.torres120@correo.mx,7225723638,Monterrey,Nuevo León,México,1,26/02/2025
613,Renée,O'Connor,renee.oconnor613@example.org,7225543740,Tijuana,Baja California,México,1,10/05/2024
693,ramón,  Vargas  ,ramon.vargas693@empresa.com,7227946236,Puebla,Puebla,México,1,22/04/2023
169,  laura  ,castillo,laura.castillo169@example.org,7224423300,Tijuana,Baja California,México,1,03/06/2023
402,Miguel,Hernández,miguel.hernandez402@ventas.net,7229102661,Metepec,Estado de México,México,1,11/08/2025
238,Lucía,Hernández,lucia.hernandez238@example.org,7228091181,Toluca,Estado de México,México,1,03/06/2025
597,Lucía,Ramírez,lucia.ramirez597@example.org,7221961607,Puebla,Puebla,México,1,09/04/2024
690,  JORGE  ,  Vargas  ,jorge.vargas690@ventas.net,7224853290,Querétaro,Querétaro,México,1,28/09/2025
182,Renée,Torres,renee.torres182@example.org,7227622866,Querétaro,Querétaro,México,1,09/01/2025
598,fernando,Torres,fernando.torres598@example.org,7223448185,Mérida,Yucatán,México,1,06/10/2021
196,Ángel,Muñoz,angel.munoz196@ventas.net,7226531635,Toluca,Estado de México,México,1,06/07/2024
659,Carlos,  Vargas  ,carlos.vargas659@ventas.net,7222375929,Toluca,Estado de México,México,1,12/06/2022
819,fernando,DÍAZ,fernando.diaz819@example.org,7229257601,Tijuana,Baja California,México,1,19/04/2026
619,MÓNICA,García,monica.garcia619@example.org,7223642277,Puebla,Puebla,México,1,20/03/2026
472,Renée,De la Cruz,renee.delacruz472@empresa.com,7229300546,Monterrey,Nuevo León,México,1,14/12/2021
412,Valeria,castillo,valeria.castillo412@empresa.com,7226795449,Mérida,Yucatán,México,1,05/09/2024
676,Carlos,Martínez,carlos.martinez676@correo.mx,7226888576,León,Guanajuato,México,1,08/01/2025
568,fernando,DÍAZ,fernando.diaz568@empresa.com,7226424914,Monterrey,Nuevo León,México,1,25/03/2023
544,Jorge,O'Connor,jorge.oconnor544@empresa.com,7222087946,León,Guanajuato,México,1,30/01/2026
827,Iñaki,Pérez,inaki.perez827@example.org,7224386031,Metepec,Estado de México,México,1,01/06/2025
608,Jorge,Núñez,jorge.nunez608@ventas.net,7225188994,CDMX,Ciudad de México,México,1,09/10/2022
517,MÓNICA,Hernández,monica.hernandez517@correo.mx,7221146376,Metepec,Estado de México,México,1,20/08/2021
481,Miguel,Hernández,miguel.hernandez481@empresa.com,7223552749,Querétaro,Querétaro,México,1,09/05/2025
249,Luis,Pérez,luis.perez249@correo.mx,7222564675,Toluca,Estado de México,México,1,19/06/2025
357,Ángel,Hernández,angel.hernandez357@empresa.com,7224838652,Toluca,Estado de México,México,1,24/11/2025
16,María,Muñoz,,7226231181,León,Guanajuato,México,0,14/07/2024
211,fernando,Ramírez,fernando.ramirez211@ventas.net,7228422578,León,Guanajuato,México,1,12/07/2025
31,José,  Vargas  ,,7224315994,Monterrey,Nuevo León,México,0,09/11/2022
12,Iñaki,Ramírez,,7229752774,CDMX,Ciudad de México,México,0,15/03/2025
881,Zoë,Núñez,zoe.nunez881@example.org,7229496363,Querétaro,Querétaro,México,1,22/01/2026
553,José,López,jose.lopez553@correo.mx,7228350465,Monterrey,Nuevo León,México,1,06/10/2022
826,José,Hernández,jose.hernandez826@empresa.com,7223179467,CDMX,Ciudad de México,México,1,17/05/2024
798,Luis,López,luis.lopez798@example.org,7226123761,Querétaro,Querétaro,México,1,25/05/2023
734,DANIELA,Muñoz,daniela.munoz734@ventas.net,7223974434,León,Guanajuato,México,1,29/08/2021
303,MÓNICA,De la Cruz,monica.delacruz303@example.org,7223683621,Toluca,Estado de México,México,1,01/10/2025
89,Miguel,Pérez,,7225471066,Mérida,Yucatán,México,1,06/05/2023
284,Ana,López,ana.lopez284@ventas.net,7228907489,Mérida,Yucatán,México,1,28/08/2021
787,Renée,Sánchez,renee.sanchez787@empresa.com,7226585514,Metepec,Estado de México,México,1,08/02/2023
759,Sofía,Pérez,sofia.perez759@correo.mx,7227658662,Toluca,Estado de México,México,1,25/11/2022
265,Óscar,Torres,oscar.torres265@empresa.com,7229528924,Guadalajara,Jalisco,México,1,12/11/2024
92,José,López,,7227037910,Puebla,Puebla,México,1,17/02/2025
340,Valeria,Pérez,valeria.perez340@empresa.com,7223269816,Metepec,Estado de México,México,1,09/08/2025
477,Carlos,castillo,carlos.castillo477@correo.mx,7228999703,Guadalajara,Jalisco,México,1,02/10/2021
382,Valeria,De la Cruz,valeria.delacruz382@ventas.net,7227230326,Toluca,Estado de México,México,1,27/06/2023
113,Lucía,Martínez,lucia.martinez113@empresa.com,7224830101,León,Guanajuato,México,1,01/02/2024
450,Óscar,  Vargas  ,oscar.vargas450@empresa.com,7228999505,Monterrey,Nuevo León,México,1,02/04/2023
409,  laura  ,O'Connor,laura.oconnor409@empresa.com,7226002599,Tijuana,Baja California,México,1,05/05/2021
396,Sofía,O'Connor,sofia.oconnor396@correo.mx,7223746750,Querétaro,Querétaro,México,1,29/07/2023
728,DANIELA,Pérez,daniela.perez728@empresa.com,7228913422,Toluca,Estado de México,México,1,21/05/2024
656,Renée,De la Cruz,renee.delacruz656@correo.mx,7227838028,Guadalajara,Jalisco,México,1,11/10/2021
841,Lucía,Sánchez,lucia.sanchez841@example.org,7222361924,León,Guanajuato,México,1,18/11/2021
540,fernando,Ramírez,fernando.ramirez540@ventas.net,7225716667,Metepec,Estado de México,México,1,21/10/2024
824,María,O'Connor,maria.oconnor824@example.org,7229000728,Querétaro,Querétaro,México,1,11/05/2022
236,Miguel,DÍAZ,miguel.diaz236@example.org,7224202649,Puebla,Puebla,México,1,03/08/2023
422,Luis,Ramírez,luis.ramirez422@empresa.com,7226143119,CDMX,Ciudad de México,México,1,12/08/2024
22,DANIELA,O'Connor,,7229546706,CDMX,Ciudad de México,México,0,20/06/2025
672,Sofía,Sánchez,sofia.sanchez672@correo.mx,7223642065,Puebla,Puebla,México,1,01/02/2022
58,fernando,López,,7229308937,Querétaro,Querétaro,México,1,20/10/2025
171,Carlos,Muñoz,carlos.munoz171@correo.mx,7227222502,Monterrey,Nuevo León,México,1,24/05/2026
401,José,García,jose.garcia401@empresa.com,7229178555,Guadalajara,Jalisco,México,1,12/03/2025
89,Miguel,Pérez,,7225471066,Mérida,Yucatán,México,1,06/05/2023
621,Zoë,Martínez,zoe.martinez621@correo.mx,7221869566,Puebla,Puebla,México,1,22/04/2023
653,Zoë,Ramírez,zoe.ramirez653@example.org,7223710588,León,Guanajuato,México,1,28/02/2021
53,  laura  ,López,,7226223030,Mérida,Yucatán,México,1,19/03/2022
537,fernando,De la Cruz,fernando.delacruz537@correo.mx,7221756274,Toluca,Estado de México,México,1,09/05/2023
535,Jorge,López,jorge.lopez535@empresa.com,7228084914,Monterrey,Nuevo León,México,1,28/04/2022
255,Luis,Ramírez,luis.ramirez255@ventas.net,7225927587,Monterrey,Nuevo León,México,1,18/05/2024
808,Zoë,castillo,zoe.castillo808@empresa.com,7229434427,León,Guanajuato,México,1,07/02/2026
452,Iñaki,Ramírez,inaki.ramirez452@ventas.net,7229528014,Querétaro,Querétaro,México,1,24/04/2026
661,DANIELA,castillo,daniela.castillo661@correo.mx,7221479752,León,Guanajuato,México,1,15/11/2022
351,Renée,  Vargas  ,renee.vargas351@empresa.com,7226877645,Tijuana,Baja California,México,1,08/09/2025
250,DANIELA,Sánchez,daniela.sanchez250@ventas.net,7223365704,Monterrey,Nuevo León,México,1,07/09/2023
122,Sofía,Núñez,sofia.nunez122@correo.mx,7226126199,Toluca,Estado de México,México,1,12/07/2023
637,Ángel,Ramírez,angel.ramirez637@correo.mx,7227947964,Puebla,Puebla,México,1,03/03/2024
666,Zoë,  Vargas  ,zoe.vargas666@empresa.com,7222404291,Monterrey,Nuevo León,México,1,17/01/2023
792,María,DÍAZ,maria.diaz792@example.org,7221801796,Mérida,Yucatán,México,1,23/10/2023
839,José,García,jose.garcia839@correo.mx,7223372043,Mérida,Yucatán,México,1,29/10/2023
352,  ZOË  ,castillo,zoe.castillo352@correo.mx,7229536959,Puebla,Puebla,México,1,15/08/2025
608,Jorge,Núñez,jorge.nunez608@ventas.net,7225188994,CDMX,Ciudad de México,México,1,09/10/2022
345,Jorge,O'Connor,jorge.oconnor345@ventas.net,7222936229,CDMX,Ciudad de México,México,1,23/07/2024
623,Zoë,Ramírez,zoe.ramirez623@ventas.net,7229376484,Toluca,Estado de México,México,1,14/07/2025
900,Miguel,García,miguel.garcia900@example.org,7223849100,Metepec,Estado de México,México,1,02/06/2022
86,Valeria,Muñoz,,7228985080,CDMX,Ciudad de México,México,1,24/05/2021
647,DANIELA,Muñoz,daniela.munoz647@correo.mx,7229601234,Puebla,Puebla,México,1,27/03/2025
645,Zoë,Torres,zoe.torres645@ventas.net,7221599755,Tijuana,Baja California,México,1,03/01/2023
436,Luis,castillo,luis.castillo436@empresa.com,7221248871,Toluca,Estado de México,México,1,14/08/2023
76,Renée,castillo,,7227844288,Tijuana,Baja California,México,1,14/11/2025
201,Jorge,  Vargas  ,jorge.vargas201@empresa.com,7228294392,Querétaro,Querétaro,México,1,04/10/2022
433,  ÁNGEL  ,castillo,angel.castillo433@ventas.net,7225482849,Monterrey,Nuevo León,México,1,03/07/2023
371,Zoë,Muñoz,zoe.munoz371@ventas.net,7222629459,Monterrey,Nuevo León,México,1,30/12/2021
223,  MIGUEL  ,O'Connor,miguel.oconnor223@ventas.net,7228158240,Querétaro,Querétaro,México,1,23/12/2021
684,Ana,Martínez,ana.martinez684@ventas.net,7227900124,Tijuana,Baja California,México,1,16/01/2025
840,Lucía,castillo,lucia.castillo840@ventas.net,7225916350,Tijuana,Baja California,México,1,04/04/2022
210,DANIELA,Hernández,daniela.hernandez210@correo.mx,7224177631,Toluca,Estado de México,México,1,25/04/2025
487,  laura  ,castillo,laura.castillo487@correo.mx,7227439002,Guadalajara,Jalisco,México,1,03/01/2025
585,Zoë,García,zoe.garcia585@empresa.com,7223551583,Puebla,Puebla,México,1,07/04/2021
660,José,Hernández,jose.hernandez660@empresa.com,7224827000,Guadalajara,Jalisco,México,1,07/12/2022
790,Carlos,López,carlos.lopez790@example.org,7225856997,Metepec,Estado de México,México,1,20/10/2024
576,fernando,O'Connor,fernando.oconnor576@example.org,7228288965,Monterrey,Nuevo León,México,1,31/07/2021
65,fernando,García,,7227123016,Puebla,Puebla,México,1,28/05/2026
683,fernando,Sánchez,fernando.sanchez683@correo.mx,7225619698,Querétaro,Querétaro,México,1,15/11/2024
390,Jorge,Pérez,jorge.perez390@empresa.com,7226644660,Mérida,Yucatán,México,1,16/01/2021
